filename,width,height,class,xmin,ymin,xmax,ymax
122_jpg.rf.83afae1d9bbfb313fb2d6a71652862ae.jpg,255,253,500,0,0,255,253
122_jpg.rf.83afae1d9bbfb313fb2d6a71652862ae.jpg,255,253,20,438,0,581,367
122_jpg.rf.83afae1d9bbfb313fb2d6a71652862ae.jpg,255,253,20,133,389,255,551
122_jpg.rf.83afae1d9bbfb313fb2d6a71652862ae.jpg,255,253,20,255,389,581,581
027_jpg.rf.83b1e429caeda74f10f3817e5b4590f4.jpg,549,549,10,0,0,290,230
029_jpg.rf.83cda5450b1dc71b495484f85ec8c4bc.jpg,587,587,20,0,0,275,264
150_jpg.rf.83d91850d9e3fa5c312263b600d0a39c.jpg,263,268,50,0,0,263,268
150_jpg.rf.83d91850d9e3fa5c312263b600d0a39c.jpg,263,268,50,263,0,527,233
150_jpg.rf.83d91850d9e3fa5c312263b600d0a39c.jpg,263,268,5,10,279,263,527
150_jpg.rf.83d91850d9e3fa5c312263b600d0a39c.jpg,263,268,50,263,382,527,510
9_jpg.rf.83ec7da1a69bb67207ddf2b61bfa9ada.jpg,534,534,None,0,0,315,277
9_jpg.rf.83ec7da1a69bb67207ddf2b61bfa9ada.jpg,534,534,500,315,0,534,260
9_jpg.rf.83ec7da1a69bb67207ddf2b61bfa9ada.jpg,534,534,500,0,413,315,534
9_jpg.rf.83ec7da1a69bb67207ddf2b61bfa9ada.jpg,534,534,500,315,277,534,534
138_jpg.rf.8401af9242e5661c726e20f05e5591c0.jpg,233,231,200,0,0,233,231
138_jpg.rf.8401af9242e5661c726e20f05e5591c0.jpg,233,231,2000,308,0,593,231
138_jpg.rf.8401af9242e5661c726e20f05e5591c0.jpg,233,231,50,0,262,308,559
138_jpg.rf.8401af9242e5661c726e20f05e5591c0.jpg,233,231,2000,308,231,593,593
89_jpg.rf.8419010ce077115e99720e890a3d6983.jpg,587,587,50,0,0,457,270
89_jpg.rf.8419010ce077115e99720e890a3d6983.jpg,587,587,50,457,0,587,270
89_jpg.rf.8419010ce077115e99720e890a3d6983.jpg,587,587,10,0,270,457,587
0_jpg.rf.8419fef1666e055ba3ac94df9f82a3a2.jpg,235,199,500,0,0,235,199
0_jpg.rf.8419fef1666e055ba3ac94df9f82a3a2.jpg,235,199,None,235,0,512,199
0_jpg.rf.8419fef1666e055ba3ac94df9f82a3a2.jpg,235,199,100,0,199,227,512
121_jpg.rf.841b002cd360b25e5bc7b22e90c95a14.jpg,307,307,10,0,0,307,307
121_jpg.rf.841b002cd360b25e5bc7b22e90c95a14.jpg,307,307,20,307,62,496,307
121_jpg.rf.841b002cd360b25e5bc7b22e90c95a14.jpg,307,307,2000,17,307,307,496
121_jpg.rf.841b002cd360b25e5bc7b22e90c95a14.jpg,307,307,20,307,307,460,496
150_jpg.rf.842050cdb331839644785b10766d74a3.jpg,465,369,10,0,0,465,369
150_jpg.rf.842050cdb331839644785b10766d74a3.jpg,465,369,10,465,107,637,369
150_jpg.rf.842050cdb331839644785b10766d74a3.jpg,465,369,10,465,369,554,591
28_jpg.rf.8425203f8be2a46048c690d78557017a.jpg,282,153,50,0,0,282,153
28_jpg.rf.8425203f8be2a46048c690d78557017a.jpg,282,153,50,300,0,496,153
28_jpg.rf.8425203f8be2a46048c690d78557017a.jpg,282,153,50,0,153,282,496
28_jpg.rf.8425203f8be2a46048c690d78557017a.jpg,282,153,50,285,153,496,496
148_jpg.rf.84277bec34171c919aa78f3835317933.jpg,371,283,200,0,0,371,283
148_jpg.rf.84277bec34171c919aa78f3835317933.jpg,371,283,2000,0,303,411,633
148_jpg.rf.84277bec34171c919aa78f3835317933.jpg,371,283,200,411,303,633,625
115_jpg.rf.842ade007c4422488a6e93e5705ea427.jpg,203,267,500,0,0,203,267
115_jpg.rf.842ade007c4422488a6e93e5705ea427.jpg,203,267,50,302,0,581,267
115_jpg.rf.842ade007c4422488a6e93e5705ea427.jpg,203,267,50,302,267,581,581
116_jpg.rf.844098c8fd1b6a70a65cf40a8172e7a3.jpg,252,378,20,0,0,252,378
116_jpg.rf.844098c8fd1b6a70a65cf40a8172e7a3.jpg,252,378,100,298,0,549,378
116_jpg.rf.844098c8fd1b6a70a65cf40a8172e7a3.jpg,252,378,20,0,385,201,549
116_jpg.rf.844098c8fd1b6a70a65cf40a8172e7a3.jpg,252,378,20,301,378,549,549
47_jpg.rf.8447cc52cc4bd6c64e0b9b5153732c65.jpg,313,423,50,0,0,313,423
47_jpg.rf.8447cc52cc4bd6c64e0b9b5153732c65.jpg,313,423,500,326,138,513,320
47_jpg.rf.8447cc52cc4bd6c64e0b9b5153732c65.jpg,313,423,500,0,423,326,641
74_jpg.rf.844c5ddacfe6dc2f080056f13a18dd6d.jpg,620,620,None,0,0,365,378
74_jpg.rf.844c5ddacfe6dc2f080056f13a18dd6d.jpg,620,620,500,394,0,620,252
74_jpg.rf.844c5ddacfe6dc2f080056f13a18dd6d.jpg,620,620,None,0,378,365,620
74_jpg.rf.844c5ddacfe6dc2f080056f13a18dd6d.jpg,620,620,50,365,378,620,620
26_jpg.rf.844d28b8b0ee5ab31a8d12c18688a4da.jpg,303,354,10,0,0,303,354
26_jpg.rf.844d28b8b0ee5ab31a8d12c18688a4da.jpg,303,354,10,303,0,605,354
26_jpg.rf.844d28b8b0ee5ab31a8d12c18688a4da.jpg,303,354,100,72,354,222,633
26_jpg.rf.844d28b8b0ee5ab31a8d12c18688a4da.jpg,303,354,100,303,354,572,633
92_jpg.rf.844d471b99e89f131698bd88d134dcd6.jpg,281,382,2000,0,0,281,382
92_jpg.rf.844d471b99e89f131698bd88d134dcd6.jpg,281,382,None,281,0,562,393
92_jpg.rf.844d471b99e89f131698bd88d134dcd6.jpg,281,382,2000,0,393,261,469
92_jpg.rf.844d471b99e89f131698bd88d134dcd6.jpg,281,382,5,281,393,562,562
